test_collection,file_path,should_fail,known_status,known_failure,known_failure_description
SYSBIO_BIOMD,BIOMD0000000009.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000010.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000011.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000012.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000013.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000014.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000015.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000016.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000017.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000018.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000019.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000020.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000021.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000022.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000023.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000024.omex,,,,
SYSBIO_BIOMD,BIOMD0000000025.omex,,,,
SYSBIO_BIOMD,BIOMD0000000026.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000027.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000028.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000029.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000030.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000031.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000032.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000033.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000034.omex,,,,
SYSBIO_BIOMD,BIOMD0000000035.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000036.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000037.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000038.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000039.omex,,,,
SYSBIO_BIOMD,BIOMD0000000040.omex,,,,
SYSBIO_BIOMD,BIOMD0000000041.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000042.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000043.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000044.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000045.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000046.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000047.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000048.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000049.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000050.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000051.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000052.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000053.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000054.omex,,,,
SYSBIO_BIOMD,BIOMD0000000055.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000056.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000057.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000058.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000059.omex,,,,
SYSBIO_BIOMD,BIOMD0000000060.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000061.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000062.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000063.omex,,,,
SYSBIO_BIOMD,BIOMD0000000064.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000065.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000066.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000067.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000068.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000069.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000070.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000071.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000072.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000073.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000074.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000075.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000076.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000077.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000078.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000079.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000080.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000081.omex,,,,
SYSBIO_BIOMD,BIOMD0000000082.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000083.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000084.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000085.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000086.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000087.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000088.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000089.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000090.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000091.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000092.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000093.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000094.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000095.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000096.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000097.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000098.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000099.omex,,PASS,,
